price_change, adress, living_area, district, final_price, land_area, date_sold
Källvägen 27; 5 rum, 112 + 41 m²; Villa, Gamla Enskede; 440 m² tomt; 1 okt 2020; +19,0%; 11 900 000 kr
Mölnbackavägen 10; 89 + 89 m²; Villa, Enskede; 589 m² tomt; 15 sep 2020; —; 9 175 000 kr
Träningsvägen 9; 70 + 65 m²; Villa, Enskede; 533 m² tomt; 31 jul 2020; +12,9%; 7 900 000 kr
Maratonvägen 44; 5 rum, 89 + 44 m²; Villa, Enskede; 479 m² tomt; 24 sep 2020; +3,0%; 7 800 000 kr
Finska gatan 13; 5 rum, 97 + 81 m²; Villa, Enskedefältet; 630 m² tomt; 27 sep 2020; +12,6%; 11 250 000 kr
Revisorsvägen 3; 6 rum, 163 + 37 m²; Villa, Enskede Gård; 674 m² tomt; 25 sep 2020; +15,1%; 12 600 000 kr
Jösseforsvägen 12; 6 rum, 135 + 95 m²; Villa, Enskede; 699 m² tomt; 22 sep 2020; +0,0%; 15 000 000 kr
Skärblackavägen 14; 8 rum, 192 + 51 m²; Villa, Enskede; 918 m² tomt; 23 sep 2020; +16,2%; 11 450 000 kr
Munksjövägen 29; 8 rum, 200 m²; Villa, Enskede; 771 m² tomt; 23 sep 2020; +5,9%; 9 000 000 kr
Ängsvägen 15; 3 rum, 94 + 45 m²; Villa, Gamla Enskede; 278 m² tomt; 16 sep 2020; +19,5%; 10 100 000 kr
Graningegränd 17; 158 + 79 m²; Villa, Stureby; 878 m² tomt; 8 sep 2020; +20,1%; 11 400 000 kr
Träningsvägen 28; 65 + 73 m²; Villa, Tallkrogen; 502 m² tomt; 21 aug 2020; +15,1%; 7 425 000 kr
Morkullsvägen 4; 66 + 66 m²; Villa, Tallkrogen; 458 m² tomt; 24 aug 2020; +17,2%; 6 975 000 kr
Graningegränd 13; 75 + 30 m²; Villa, Enskede; 1 069 m² tomt; 7 aug 2020; —; 9 000 000 kr
Lingvägen 39; 75 + 75 m²; Villa, Enskede; 303 m² tomt; 13 aug 2020; —; 6 100 000 kr
Plantskolevägen 34; 114 + 61 m²; Villa, Gamla Enskede; 449 m² tomt; 24 aug 2020; +3,3%; 10 300 000 kr
Bägersta Byväg 7; 72 + 49 m²; Villa, Enskede; 478 m² tomt; 13 aug 2020; —; 10 100 000 kr
Herrhagsvägen 88; 6 rum, 118 + 82 m²; Villa, Tallkrogen; 585 m² tomt; 14 sep 2020; +8,2%; 8 000 000 kr
Polovägen 22; 95 + 80 m²; Villa, Tallkrogen; 508 m² tomt; 15 jul 2020; +15,3%; 7 950 000 kr
Amatörvägen 12; 6 rum, 68 + 82 m²; Villa, Tallkrogen; 338 m² tomt; 9 sep 2020; +17,3%; 8 150 000 kr
Lilla gränd 2; 122 + 67 m²; Villa, Enskede; 554 m² tomt; 30 jul 2020; —; 12 500 000 kr
Utansjövägen 4; 5 rum, 80 + 71 m²; Villa, Stureby; 706 m² tomt; 9 sep 2020; +12,4%; 9 550 000 kr
Mölnbackavägen 4; 82 + 65 m²; Villa, Enskede; 655 m² tomt; 3 aug 2020; +13,2%; 7 925 000 kr
Polovägen 21; 86 + 84 m²; Villa, Tallkrogen; 490 m² tomt; 26 jun 2020; +19,0%; 8 325 000 kr
Bandhagsvägen 14; 6 rum, 117 + 52 m²; Villa, Stureby; 785 m² tomt; 6 sep 2020; +7,9%; 10 525 000 kr
Tallkrogsvägen 73; 65 + 65 m²; Villa, Tallkrogen; 551 m² tomt; 6 apr 2020; +0,3%; 5 510 000 kr
Kulstötarvägen 88; 67 + 60 m²; Villa, Enskede; 507 m² tomt; 7 aug 2020; —; 6 425 000 kr
Korta vägen 4; 138 + 89 m²; Villa, Gamla Enskede; 635 m² tomt; 3 aug 2020; +18,5%; 16 000 000 kr
Herrhagsvägen 122; 93 + 66 m²; Villa, Tallkrogen; 577 m² tomt; 7 aug 2020; +12,6%; 7 650 000 kr
Olympiavägen 36; 4 rum, 73 + 73 m²; Villa, Enskede; 501 m² tomt; 4 sep 2020; -1,0%; 6 240 000 kr
Korsholmsvägen 1; 109 + 60 m²; Villa, Enskedefältet; 508 m² tomt; 7 aug 2020; +26,9%; 12 050 000 kr
Hemmansvägen 34; 107 + 50 m²; Villa, Enskede; 525 m² tomt; 6 aug 2020; —; 9 650 000 kr
Skönsmovägen 5; 86 + 76 m²; Villa, Stureby; 899 m² tomt; 7 aug 2020; -1,0%; 7 225 000 kr
Lindevägen 30; 7 rum, 188 + 61 m²; Villa, Enskede Gård; 804 m² tomt; 30 aug 2020; +7,9%; 15 050 000 kr
Mölnbackavägen 10; 6 rum, 125 m²; Villa, Stureby; 73 400 kr/m²; 5 jun 2020; +14,8%; 9 175 000 kr
Rörsoppsvägen 8; 117 + 61 m²; Villa, Gamla Enskede; 568 m² tomt; 3 aug 2020; +3,9%; 9 250 000 kr
Rörsoppsvägen 8; 117 + 61 m²; Villa, Gamla Enskede; 568 m² tomt; 3 aug 2020; +3,9%; 9 250 000 kr
Lemmings väg 65; 5 rum, 67 + 79 m²; Villa, Enskede; 645 m² tomt; 27 aug 2020; +12,3%; 6 600 000 kr
Lindevägen 12; 120 + 58 m²; Villa, Enskede gård; 614 m² tomt; 31 jul 2020; —; 11 000 000 kr
Solvägen 22; 6 rum, 125 + 85 m²; Villa, Gamla Enskede; 610 m² tomt; 26 aug 2020; +23,4%; 17 900 000 kr
Timmerkörargränd 7; 3 rum, 80 + 44 m²; Villa, Stureby; 632 m² tomt; 25 aug 2020; +27,3%; 7 640 000 kr
Hammerstavägen 114; 6 rum, 99 + 57 m²; Villa, Enskede; 532 m² tomt; 25 aug 2020; +17,9%; 8 250 000 kr
Kubikenborgsvägen 15; 7 rum, 110 + 64 m²; Villa, Stureby; 646 m² tomt; 26 aug 2020; +1,7%; 8 900 000 kr
Häringevägen 4; 87 + 86 m²; Villa, Tallkrogen; 485 m² tomt; 20 jul 2020; +3,6%; 8 700 000 kr
Kulstötarvägen 28; 4 rum, 69 + 50 m²; Villa, Tallkrogen; 331 m² tomt; 20 aug 2020; +10,7%; 7 360 000 kr
